Team,Region,Seed
Oklahoma,Norman,1
Missouri,Norman,2
California,Norman,3
Hofstra,Norman,4
Clemson,Clemson,1
Auburn,Clemson,2
Cal St. Fullerton,Clemson,3
UNC Greensboro,Clemson,4
Stanford,Stanford,1
Florida,Stanford,2
LMU (CA),Stanford,3
Long Beach St.,Stanford,4
Duke,Durham,1
Charlotte,Durham,2
Campbell,Durham,3
George Mason,Durham,4
Alabama,Tuscaloosa,1
Middle Tenn.,Tuscaloosa,2
Central Ark.,Tuscaloosa,3
LIU,Tuscaloosa,4
Northwestern,Evanston,1
Kentucky,Evanston,2
Miami (OH),Evanston,3
Eastern Ill.,Evanston,4
Texas,Austin,1
Texas St.,Austin,2
Texas A&amp;M,Austin,3
Seton Hall,Austin,4
Tennessee,Knoxville,1
Indiana,Knoxville,2
Louisville,Knoxville,3
Northern Ky.,Knoxville,4
Florida St.,Tallahassee,1
UCF,Tallahassee,2
South Carolina,Tallahassee,3
Marist,Tallahassee,4
Georgia,Athens,1
Virginia Tech,Athens,2
Boston U.,Athens,3
N.C. Central,Athens,4
Arkansas,Fayetteville,1
Notre Dame,Fayetteville,2
Oregon,Fayetteville,3
Harvard,Fayetteville,4
Oklahoma St.,Stillwater,1
Wichita St.,Stillwater,2
Nebraska,Stillwater,3
UMBC,Stillwater,4
Washington,Seattle,1
McNeese,Seattle,2
Minnesota,Seattle,3
Northern Colo.,Seattle,4
LSU,Baton Rouge,1
Louisiana,Baton Rouge,2
Omaha,Baton Rouge,3
Prairie View,Baton Rouge,4
Utah,Salt Lake City,1
Ole Miss,Salt Lake City,2
Baylor,Salt Lake City,3
Southern Ill.,Salt Lake City,4
UCLA,Los Angeles,1
Liberty,Los Angeles,2
San Diego St.,Los Angeles,3
Grand Canyon,Los Angeles,4
